datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name,Day,Weekday_Name,is_weekend,Total_Sales,Season
2014-01-22,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0,2014,1,Wednesday,22,Wednesday,0,52.1,Winter
2014-01-23,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0,2014,1,Thursday,23,Thursday,0,49.07,Winter
2014-01-24,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0,2014,1,Friday,24,Friday,0,52.61,Winter
2014-01-25,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0,2014,1,Saturday,25,Saturday,1,81.8,Winter
2014-01-26,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0,2014,1,Sunday,26,Sunday,1,34.01,Winter
2014-01-27,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,2014,1,Monday,27,Monday,0,56.81,Winter
2014-01-28,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,2014,1,Tuesday,28,Tuesday,0,58.52,Winter
2014-01-29,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,2014,1,Wednesday,29,Wednesday,0,39.33,Winter
2014-01-30,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,2014,1,Thursday,30,Thursday,0,45.26,Winter
2014-01-31,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,2014,1,Friday,31,Friday,0,47.68,Winter
2014-02-01,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,2014,2,Saturday,1,Saturday,1,84.65,Winter
2014-02-02,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,2014,2,Sunday,2,Sunday,1,39.7,Winter
2014-02-03,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,2014,2,Monday,3,Monday,0,64.9,Winter
2014-02-04,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,2014,2,Tuesday,4,Tuesday,0,69.93,Winter
2014-02-05,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,2014,2,Wednesday,5,Wednesday,0,63.62,Winter
2014-02-06,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,2014,2,Thursday,6,Thursday,0,80.91,Winter
2014-02-07,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2014,2,Friday,7,Friday,0,64.43,Winter
2014-02-08,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2014,2,Saturday,8,Saturday,1,74.18,Winter
2014-02-09,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,2014,2,Sunday,9,Sunday,1,56.5,Winter
2014-02-10,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014,2,Monday,10,Monday,0,90.93,Winter
2014-02-11,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2014,2,Tuesday,11,Tuesday,0,105.09,Winter
2014-02-12,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,2014,2,Wednesday,12,Wednesday,0,107.36999999999999,Winter
2014-02-13,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,2014,2,Thursday,13,Thursday,0,84.1,Winter
2014-02-14,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,2014,2,Friday,14,Friday,0,76.50999999999999,Winter
2014-02-15,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,2014,2,Saturday,15,Saturday,1,57.34,Winter
2014-02-16,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,2014,2,Sunday,16,Sunday,1,47.88,Winter
2014-02-17,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,2014,2,Monday,17,Monday,0,72.03999999999999,Winter
2014-02-18,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,2014,2,Tuesday,18,Tuesday,0,97.8,Winter
2014-02-19,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,2014,2,Wednesday,19,Wednesday,0,105.64999999999999,Winter
2014-02-20,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,2014,2,Thursday,20,Thursday,0,66.72,Winter
2014-02-21,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,2014,2,Friday,21,Friday,0,61.739999999999995,Winter
2014-02-22,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,2014,2,Saturday,22,Saturday,1,54.870000000000005,Winter
2014-02-23,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,2014,2,Sunday,23,Sunday,1,37.34,Winter
2014-02-24,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,2014,2,Monday,24,Monday,0,50.68,Winter
2014-02-25,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,2014,2,Tuesday,25,Tuesday,0,67.38,Winter
2014-02-26,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,2014,2,Wednesday,26,Wednesday,0,62.01,Winter
2014-02-27,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,2014,2,Thursday,27,Thursday,0,58.540000000000006,Winter
2014-02-28,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,2014,2,Friday,28,Friday,0,71.66,Winter
2014-03-01,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,2014,3,Saturday,1,Saturday,1,82.175,Spring
2014-03-02,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,2014,3,Sunday,2,Sunday,1,15.94,Spring
2014-03-03,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,2014,3,Monday,3,Monday,0,36.580000000000005,Spring
2014-03-04,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,2014,3,Tuesday,4,Tuesday,0,84.835,Spring
2014-03-05,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,2014,3,Wednesday,5,Wednesday,0,37.34,Spring
2014-03-06,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,2014,3,Thursday,6,Thursday,0,78.6,Spring
2014-03-07,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,2014,3,Friday,7,Friday,0,48.84,Spring
2014-03-08,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,2014,3,Saturday,8,Saturday,1,47.010000000000005,Spring
2014-03-09,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,2014,3,Sunday,9,Sunday,1,24.3,Spring
2014-03-10,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,2014,3,Monday,10,Monday,0,75.83,Spring
2014-03-11,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,2014,3,Tuesday,11,Tuesday,0,68.1,Spring
2014-03-12,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,2014,3,Wednesday,12,Wednesday,0,64.12,Spring
2014-03-13,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2014,3,Thursday,13,Thursday,0,65.47,Spring
2014-03-14,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,2014,3,Friday,14,Friday,0,37.22,Spring
2014-03-15,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2014,3,Saturday,15,Saturday,1,67.3,Spring
2014-03-16,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2014,3,Sunday,16,Sunday,1,29.08,Spring
2014-03-17,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,2014,3,Monday,17,Monday,0,64.02,Spring
2014-03-18,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,2014,3,Tuesday,18,Tuesday,0,50.1,Spring
2014-03-19,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,2014,3,Wednesday,19,Wednesday,0,36.82,Spring
2014-03-20,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,2014,3,Thursday,20,Thursday,0,64.34,Spring
2014-03-21,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,2014,3,Friday,21,Friday,0,61.18,Spring
2014-03-22,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,2014,3,Saturday,22,Saturday,1,70.38000000000001,Spring
2014-03-23,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,2014,3,Sunday,23,Sunday,1,35.739999999999995,Spring
2014-03-24,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,2014,3,Monday,24,Monday,0,50.78,Spring
2014-03-25,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,2014,3,Tuesday,25,Tuesday,0,61.94,Spring
2014-03-26,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2014,3,Wednesday,26,Wednesday,0,35.03,Spring
2014-03-27,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,2014,3,Thursday,27,Thursday,0,40.03,Spring
2014-03-28,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2014,3,Friday,28,Friday,0,40.67,Spring
2014-03-29,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,2014,3,Saturday,29,Saturday,1,60.53,Spring
2014-03-30,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,2014,3,Sunday,30,Sunday,1,28.34,Spring
2014-03-31,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,2014,3,Monday,31,Monday,0,44.08,Spring
2014-04-01,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2014,4,Tuesday,1,Tuesday,0,51.68,Spring
2014-04-02,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2014,4,Wednesday,2,Wednesday,0,49.58,Spring
2014-04-03,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,2014,4,Thursday,3,Thursday,0,32.54,Spring
2014-04-04,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,2014,4,Friday,4,Friday,0,55.67,Spring
2014-04-05,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2014,4,Saturday,5,Saturday,1,58.28,Spring
2014-04-06,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2014,4,Sunday,6,Sunday,1,25.0,Spring
2014-04-07,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,2014,4,Monday,7,Monday,0,55.34,Spring
2014-04-08,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,2014,4,Tuesday,8,Tuesday,0,39.08,Spring
2014-04-09,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,2014,4,Wednesday,9,Wednesday,0,33.62,Spring
2014-04-10,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,2014,4,Thursday,10,Thursday,0,42.01,Spring
2014-04-11,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,2014,4,Friday,11,Friday,0,44.0,Spring
2014-04-12,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,2014,4,Saturday,12,Saturday,1,73.86,Spring
2014-04-13,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,2014,4,Sunday,13,Sunday,1,23.0,Spring
2014-04-14,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,2014,4,Monday,14,Monday,0,59.65,Spring
2014-04-15,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,2014,4,Tuesday,15,Tuesday,0,55.44,Spring
2014-04-16,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2014,4,Wednesday,16,Wednesday,0,43.83,Spring
2014-04-17,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,2014,4,Thursday,17,Thursday,0,47.879999999999995,Spring
2014-04-18,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,2014,4,Friday,18,Friday,0,61.3,Spring
2014-04-19,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,2014,4,Saturday,19,Saturday,1,51.99,Spring
2014-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,Sunday,20,Sunday,1,0.0,Spring
2014-04-21,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,2014,4,Monday,21,Monday,0,27.62,Spring
2014-04-22,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,2014,4,Tuesday,22,Tuesday,0,57.805,Spring
2014-04-23,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,2014,4,Wednesday,23,Wednesday,0,48.58,Spring
2014-04-24,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2014,4,Thursday,24,Thursday,0,45.1,Spring
2014-04-25,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,2014,4,Friday,25,Friday,0,49.92,Spring
2014-04-26,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,2014,4,Saturday,26,Saturday,1,70.50999999999999,Spring
2014-04-27,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,2014,4,Sunday,27,Sunday,1,38.54,Spring
2014-04-28,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,2014,4,Monday,28,Monday,0,48.53,Spring
2014-04-29,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,2014,4,Tuesday,29,Tuesday,0,54.449999999999996,Spring
2014-04-30,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,2014,4,Wednesday,30,Wednesday,0,79.12,Spring
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5,Thursday,1,Thursday,0,0.0,Spring
2014-05-02,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,2014,5,Friday,2,Friday,0,91.48,Spring
2014-05-03,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,2014,5,Saturday,3,Saturday,1,35.44,Spring
2014-05-04,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,2014,5,Sunday,4,Sunday,1,33.56,Spring
2014-05-05,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,2014,5,Monday,5,Monday,0,47.785,Spring
2014-05-06,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,2014,5,Tuesday,6,Tuesday,0,60.7,Spring
2014-05-07,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,2014,5,Wednesday,7,Wednesday,0,52.45,Spring
2014-05-08,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2014,5,Thursday,8,Thursday,0,46.14,Spring
2014-05-09,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2014,5,Friday,9,Friday,0,44.2,Spring
2014-05-10,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,2014,5,Saturday,10,Saturday,1,83.4,Spring
2014-05-11,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2014,5,Sunday,11,Sunday,1,34.68,Spring
2014-05-12,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,2014,5,Monday,12,Monday,0,43.68,Spring
2014-05-13,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,2014,5,Tuesday,13,Tuesday,0,81.72,Spring
2014-05-14,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,2014,5,Wednesday,14,Wednesday,0,42.32,Spring
2014-05-15,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2014,5,Thursday,15,Thursday,0,36.66,Spring
2014-05-16,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,2014,5,Friday,16,Friday,0,60.34,Spring
2014-05-17,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2014,5,Saturday,17,Saturday,1,65.02,Spring
2014-05-18,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,2014,5,Sunday,18,Sunday,1,26.740000000000002,Spring
2014-05-19,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,2014,5,Monday,19,Monday,0,48.08,Spring
2014-05-20,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,2014,5,Tuesday,20,Tuesday,0,51.975,Spring
2014-05-21,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2014,5,Wednesday,21,Wednesday,0,41.58,Spring
2014-05-22,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,2014,5,Thursday,22,Thursday,0,28.21,Spring
2014-05-23,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,2014,5,Friday,23,Friday,0,55.74,Spring
2014-05-24,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,2014,5,Saturday,24,Saturday,1,61.713,Spring
2014-05-25,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2014,5,Sunday,25,Sunday,1,27.0,Spring
2014-05-26,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2014,5,Monday,26,Monday,0,44.42,Spring
2014-05-27,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,2014,5,Tuesday,27,Tuesday,0,55.94,Spring
2014-05-28,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,2014,5,Wednesday,28,Wednesday,0,34.14,Spring
2014-05-29,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,2014,5,Thursday,29,Thursday,0,57.64,Spring
2014-05-30,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,2014,5,Friday,30,Friday,0,47.54,Spring
2014-05-31,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,2014,5,Saturday,31,Saturday,1,66.00999999999999,Spring
2014-06-01,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,2014,6,Sunday,1,Sunday,1,21.68,Summer
2014-06-02,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,2014,6,Monday,2,Monday,0,63.64,Summer
2014-06-03,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,2014,6,Tuesday,3,Tuesday,0,48.4,Summer
2014-06-04,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,2014,6,Wednesday,4,Wednesday,0,42.68,Summer
2014-06-05,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,2014,6,Thursday,5,Thursday,0,41.019999999999996,Summer
2014-06-06,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,2014,6,Friday,6,Friday,0,49.305,Summer
2014-06-07,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,2014,6,Saturday,7,Saturday,1,75.18,Summer
2014-06-08,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,2014,6,Sunday,8,Sunday,1,33.0,Summer
2014-06-09,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,2014,6,Monday,9,Monday,0,62.67,Summer
2014-06-10,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,2014,6,Tuesday,10,Tuesday,0,65.16,Summer
2014-06-11,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,2014,6,Wednesday,11,Wednesday,0,58.82,Summer
2014-06-12,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,2014,6,Thursday,12,Thursday,0,41.14,Summer
2014-06-13,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,2014,6,Friday,13,Friday,0,33.68,Summer
2014-06-14,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,2014,6,Saturday,14,Saturday,1,37.019999999999996,Summer
2014-06-15,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,2014,6,Sunday,15,Sunday,1,18.64,Summer
2014-06-16,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,2014,6,Monday,16,Monday,0,49.28,Summer
2014-06-17,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,2014,6,Tuesday,17,Tuesday,0,42.34,Summer
2014-06-18,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2014,6,Wednesday,18,Wednesday,0,36.7,Summer
2014-06-19,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,2014,6,Thursday,19,Thursday,0,30.33,Summer
2014-06-20,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,2014,6,Friday,20,Friday,0,44.86,Summer
2014-06-21,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,2014,6,Saturday,21,Saturday,1,47.68,Summer
2014-06-22,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,2014,6,Sunday,22,Sunday,1,40.019999999999996,Summer
2014-06-23,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2014,6,Monday,23,Monday,0,55.22,Summer
2014-06-24,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2014,6,Tuesday,24,Tuesday,0,57.34,Summer
2014-06-25,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0,2014,6,Wednesday,25,Wednesday,0,74.14,Summer
2014-06-26,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,2014,6,Thursday,26,Thursday,0,50.6,Summer
2014-06-27,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0,2014,6,Friday,27,Friday,0,60.64,Summer
2014-06-28,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0,2014,6,Saturday,28,Saturday,1,51.68,Summer
2014-06-29,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,2014,6,Sunday,29,Sunday,1,14.0,Summer
2014-06-30,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,2014,6,Monday,30,Monday,0,43.34,Summer
2014-07-01,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0,2014,7,Tuesday,1,Tuesday,0,39.68,Summer
2014-07-02,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0,2014,7,Wednesday,2,Wednesday,0,44.94,Summer
2014-07-03,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0,2014,7,Thursday,3,Thursday,0,38.51,Summer
2014-07-04,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0,2014,7,Friday,4,Friday,0,45.54,Summer
2014-07-05,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0,2014,7,Saturday,5,Saturday,1,62.68,Summer
2014-07-06,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,2014,7,Sunday,6,Sunday,1,28.2,Summer
2014-07-07,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0,2014,7,Monday,7,Monday,0,37.34,Summer
2014-07-08,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0,2014,7,Tuesday,8,Tuesday,0,34.68,Summer
2014-07-09,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2,2014,7,Wednesday,9,Wednesday,0,39.540000000000006,Summer
2014-07-10,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2014,7,Thursday,10,Thursday,0,77.19,Summer
2014-07-11,2.0,1.68,3.2,16.5,17.0,0.0,5.0,1.0,2014,7,Friday,11,Friday,0,46.379999999999995,Summer
2014-07-12,8.34,2.68,10.5,28.1,12.0,3.0,12.0,4.0,2014,7,Saturday,12,Saturday,1,80.62,Summer
2014-07-13,2.0,1.34,1.0,17.0,2.0,0.0,0.0,0.0,2014,7,Sunday,13,Sunday,1,23.34,Summer
2014-07-14,5.0,3.04,3.0,11.8,19.0,1.0,2.0,2.0,2014,7,Monday,14,Monday,0,46.84,Summer
2014-07-15,3.34,1.68,1.0,15.6,18.0,0.0,0.0,1.3,2014,7,Tuesday,15,Tuesday,0,40.919999999999995,Summer
2014-07-16,4.0,3.34,3.0,13.0,12.0,1.0,4.0,0.0,2014,7,Wednesday,16,Wednesday,0,40.34,Summer
2014-07-17,2.0,3.0,5.0,25.0,14.0,1.0,0.0,1.0,2014,7,Thursday,17,Thursday,0,51.0,Summer
2014-07-18,9.0,2.34,1.5,14.2,6.0,3.0,0.0,4.0,2014,7,Friday,18,Friday,0,40.04,Summer
2014-07-19,7.33,7.02,6.0,8.4,10.0,0.0,6.0,6.0,2014,7,Saturday,19,Saturday,1,50.75,Summer
2014-07-20,3.0,0.34,1.0,8.0,5.0,0.0,0.0,0.1,2014,7,Sunday,20,Sunday,1,17.44,Summer
2014-07-21,3.0,4.68,8.0,20.0,13.0,1.0,0.0,2.0,2014,7,Monday,21,Monday,0,51.68,Summer
2014-07-22,5.0,5.68,3.0,9.0,7.0,0.0,1.0,2.0,2014,7,Tuesday,22,Tuesday,0,32.68,Summer
2014-07-23,2.67,6.37,2.0,8.0,19.0,0.0,0.0,3.0,2014,7,Wednesday,23,Wednesday,0,41.04,Summer
2014-07-24,5.34,2.0,4.4,23.0,5.0,0.0,0.0,2.0,2014,7,Thursday,24,Thursday,0,41.74,Summer
2014-07-25,5.0,2.02,7.5,10.0,15.0,1.0,1.0,2.0,2014,7,Friday,25,Friday,0,43.519999999999996,Summer
2014-07-26,4.0,6.68,6.2,36.2,13.0,0.0,0.0,4.0,2014,7,Saturday,26,Saturday,1,70.08,Summer
2014-07-27,3.0,1.34,2.0,10.0,5.0,0.0,6.0,1.0,2014,7,Sunday,27,Sunday,1,28.34,Summer
2014-07-28,2.0,1.34,2.0,9.1,9.0,0.0,0.0,2.0,2014,7,Monday,28,Monday,0,25.439999999999998,Summer
